$i$	$\\varphi_i$	$u_i=\\sin{\\varphi_i}$	$\\hat{u}_i$	$\\Delta_i=u_i-\\hat{u}_i$	$\\dot{u}_i$	$\\dot{\\hat{u}}_i$	$\\dot{\\Delta}_i=\\dot{u}_i-\\dot{\\hat{u}}_i$	$\\ddot{u}_i$	$\\ddot{\\hat{u}}_i$	$\\ddot{\\Delta}_i=\\ddot{u}_i-\\ddot{\\hat{u}}_i$
-17	-4.45058959258554	0.965925826289068	?	?						
-16	-4.18879020478639	0.866025403784438	?	?						
-15	-3.92699081698724	0.707106781186547	?	?						
-14	-3.66519142918809	0.5	?	?						
-13	-3.40339204138894	0.258819045102521	?	?						
-12	-3.14159265358979	-1.22464679914735E-16	-4.08215599715784E-17	-8.16431199431569E-17	-1	-0.997884762954746	-0.002115237045254	1.22464679914735E-16	1.70170509577248E-16	-4.77058296625126E-17
-11	-2.87979326579064	-0.258819045102521	-0.258311700780993	-0.000507344321528	-0.965925826289068	-0.963882664198336	-0.002043162090732	0.258819045102521	0.25829830035019	0.000520744752331
-10	-2.61799387799149	-0.5	-0.49901988603403	-0.00098011396597	-0.866025403784439	-0.864193554768223	-0.001831849016216	0.5	0.498993998389639	0.001006001610361
-9	-2.35619449019234	-0.707106781186548	-0.705720690723202	-0.001386090463346	-0.707106781186547	-0.705611082728031	-0.001495698458516	0.707106781186548	0.705684080065404	0.001422701121144
-8	-2.0943951023932	-0.866025403784439	-0.864327796598171	-0.001697607186268	-0.5	-0.498942381477373	-0.001057618522626	0.866025403784439	0.864282957882797	0.001742445901642
-7	-1.83259571459405	-0.965925826289068	-0.964032391504194	-0.001893434784874	-0.258819045102521	-0.258271581470303	-0.000547463632218	0.965925826289068	0.963982380415597	0.001943445873471
-6	-1.5707963267949	-1	-0.99803977206806	-0.00196022793194	6.12323399573677E-17	0	6.12323399573677E-17	1	0.997987996779278	0.002012003220722
-5	-1.30899693899575	-0.965925826289068	-0.964032391504194	-0.001893434784874	0.258819045102521	0.258271581470303	0.000547463632218	0.965925826289068	0.963982380415595	0.001943445873473
-4	-1.0471975511966	-0.866025403784439	-0.864327796598171	-0.001697607186268	0.5	0.498942381477374	0.001057618522627	0.866025403784439	0.864282957882799	0.00174244590164
-3	-0.785398163397448	-0.707106781186547	-0.705720690723201	-0.001386090463346	0.707106781186548	0.705611082728032	0.001495698458516	0.707106781186547	0.705684080065405	0.001422701121143
-2	-0.523598775598299	-0.5	-0.49901988603403	-0.00098011396597	0.866025403784439	0.864193554768223	0.001831849016215	0.5	0.498993998389639	0.001006001610361
-1	-0.261799387799149	-0.258819045102521	-0.258311700780993	-0.000507344321528	0.965925826289068	0.963882664198335	0.002043162090734	0.258819045102521	0.25829830035019	0.000520744752331
0	0	0	0	0	1	0.997884762954747	0.002115237045253	0	0	0
1	0.261799387799149	0.258819045102521	0.258311700780993	0.000507344321528	0.965925826289068	0.963882664198335	0.002043162090734	-0.258819045102521	-0.25829830035019	-0.000520744752331
2	0.523598775598299	0.5	0.49901988603403	0.00098011396597	0.866025403784439	0.864193554768223	0.001831849016216	-0.5	-0.498993998389639	-0.001006001610361
3	0.785398163397448	0.707106781186547	0.705720690723201	0.001386090463346	0.707106781186548	0.705611082728032	0.001495698458515	-0.707106781186547	-0.705684080065406	-0.001422701121142
4	1.0471975511966	0.866025403784439	0.864327796598171	0.001697607186268	0.5	0.498942381477373	0.001057618522627	-0.866025403784439	-0.864282957882797	-0.001742445901641
5	1.30899693899575	0.965925826289068	0.964032391504194	0.001893434784874	0.258819045102521	0.258271581470303	0.000547463632218	-0.965925826289068	-0.963982380415597	-0.001943445873471
6	1.5707963267949	1	0.99803977206806	0.00196022793194	6.12323399573677E-17	0	6.12323399573677E-17	-1	-0.997987996779278	-0.002012003220722
7	1.83259571459405	0.965925826289068	0.964032391504194	0.001893434784874	-0.258819045102521	-0.258271581470303	-0.000547463632218	-0.965925826289068	-0.963982380415597	-0.001943445873471
8	2.0943951023932	0.866025403784439	0.864327796598171	0.001697607186268	-0.5	-0.498942381477373	-0.001057618522627	-0.866025403784439	-0.864282957882795	-0.001742445901643
9	2.35619449019234	0.707106781186548	0.705720690723202	0.001386090463346	-0.707106781186547	-0.705611082728031	-0.001495698458516	-0.707106781186548	-0.705684080065404	-0.001422701121144
10	2.61799387799149	0.5	0.49901988603403	0.00098011396597	-0.866025403784439	-0.864193554768224	-0.001831849016214	-0.5	-0.498993998389641	-0.001006001610359
11	2.87979326579064	0.258819045102521	0.258311700780993	0.000507344321528	-0.965925826289068	-0.963882664198334	-0.002043162090734	-0.258819045102521	-0.258298300350189	-0.000520744752332
12	3.14159265358979	1.22464679914735E-16	4.08215599715784E-17	8.16431199431569E-17	-1	-0.997884762954746	-0.002115237045254	-1.22464679914735E-16	-1.70170509577248E-16	4.77058296625126E-17
13	3.40339204138894	-0.258819045102521	?	?						
14	3.66519142918809	-0.5	?	?						
15	3.92699081698724	-0.707106781186547	?	?						
16	4.18879020478639	-0.866025403784438	?	?						
17	4.45058959258554	-0.965925826289068	?	?						
